ID,Language_ID,Parameter_ID,Form,InterRater_Segments,Segments,reliability_binary
Burmese-eightyeight-1,Burmese,eightyeight,ʃɪʔsʰɛ̰ʃɪʔ,ʃ ɪ ʔ + sʰ ɛ̰ + ʃ ɪ ʔ,ʃ ɪ ʔ + sʰ ɛ̰ + ʃ ɪ ʔ,1
Burmese-seventyfive-1,Burmese,seventyfive,kʰʊ̀ɰ̃n̥əsʰɛ̰ŋá,kʰ ʊ̀ɰ̃ n̥ ə + sʰ ɛ̰ + ŋ á,kʰ ʊ̀ɰ̃ n̥ ə + sʰ ɛ̰ + ŋ á,1
Burmese-seventyone-1,Burmese,seventyone,kʰʊ̀ɰ̃n̥əsʰɛ̰tɪʔ,kʰ ʊ̀ɰ̃ n̥ ə + sʰ ɛ̰ + t ɪ ʔ,kʰ ʊ̀ɰ̃ n̥ ə + sʰ ɛ̰ + t ɪ ʔ,1
Burmese-eighteen-1,Burmese,eighteen,sʰɛ̰ʃɪʔ,sʰ ɛ̰ + ʃ ɪ ʔ,sʰ ɛ̰ + ʃ ɪ ʔ,1
Burmese-fortyeight-1,Burmese,fortyeight,lézɛ̰ʃɪʔ,l é + z ɛ̰ + ʃ ɪ ʔ,l é + z ɛ̰ + ʃ ɪ ʔ,1
Burmese-fiftyeight-1,Burmese,fiftyeight,ŋázɛ̰ʃɪʔ,ŋ á + z ɛ̰ + ʃ ɪ ʔ,ŋ á + z ɛ̰ + ʃ ɪ ʔ,1
Cavinena-eighteen-1,Cavinena,eighteen,peaɟa tʊŋka kimisakarʊkʊ earakana,p e a ɟ a + t ʊ ŋ k a + k i m i s a k a r ʊ k ʊ + e a r a k a n a,p e a ɟ a + t ʊ ŋ k a + k i m i s a k a r ʊ k ʊ + e a r a k a n a,1
Cavinena-fiftythree-1,Cavinena,fiftythree,piɕika tʊŋka kimiɕa earakana,p i ɕ i k a + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a,p i ɕ i k a + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a,1
Cavinena-twentyseven-1,Cavinena,twentyseven,beta tʊŋka pakarʊkʊ earakana,b e t a + t ʊ ŋ k a + p a k a r ʊ k ʊ + e a r a k a n a,b e t a + t ʊ ŋ k a + p a k a r ʊ k ʊ + e a r a k a n a,1
Cavinena-eightyfive-1,Cavinena,eightyfive,kimisakarʊkʊ tʊŋka piɕika earakana,k i m i s a k a r ʊ k ʊ + t ʊ ŋ k a + p i ɕ i k a + e a r a k a n a,k i m i s a k a r ʊ k ʊ + t ʊ ŋ k a + p i ɕ i k a + e a r a k a n a,1
Cavinena-fortytwo-1,Cavinena,fortytwo,pʊɕi tʊŋka beta earakana,p ʊ ɕ i + t ʊ ŋ k a + b e t a + e a r a k a n a,p ʊ ɕ i + t ʊ ŋ k a + b e t a + e a r a k a n a,1
Cavinena-twenty-1,Cavinena,twenty,beta tʊŋka,b e t a + t ʊ ŋ k a,b e t a + t ʊ ŋ k a,1
Cavinena-thirty-1,Cavinena,thirty,kimiɕa tʊŋka,k i m i ɕ a + t ʊ ŋ k a,k i m i ɕ a + t ʊ ŋ k a,1
Cavinena-eightythree-1,Cavinena,eightythree,kimisakarʊkʊ tʊŋka kimiɕa earakana,k i m i s a k a r ʊ k ʊ + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a,k i m i s a k a r ʊ k ʊ + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a,1
Cavinena-twentytwo-1,Cavinena,twentytwo,beta tʊŋka beta earakana,b e t a + t ʊ ŋ k a + b e t a + e a r a k a n a,b e t a + t ʊ ŋ k a + b e t a + e a r a k a n a,1
Cavinena-eightyseven-1,Cavinena,eightyseven,kimisakarʊkʊ tʊŋka pakarʊkʊ earakana,k i m i s a k a r ʊ k ʊ + t ʊ ŋ k a + p a k a r ʊ k ʊ + e a r a k a n a,k i m i s a k a r ʊ k ʊ + t ʊ ŋ k a + p a k a r ʊ k ʊ + e a r a k a n a,1
Cavinena-twentythree-1,Cavinena,twentythree,beta tʊŋka kimiɕa earakana,b e t a + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a,b e t a + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a,1
